datetime,version,candidate_count,open_strategy_count,tick_queue_backlog,writer_queue_backlog,pending_notifications,unknown_notifications,halted,ticks,gaps,bars,invalid_bars,save_failures
2026-09-22 15:21:29.465,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8300,57,0
2026-09-22 15:22:36.537,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8300,57,0
2026-09-22 15:23:43.122,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8300,57,0
2026-09-22 15:24:49.637,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8300,57,0
2026-09-22 15:25:54.247,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8300,57,0
2026-09-22 15:26:59.952,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8300,57,0
2026-09-22 15:28:05.345,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8300,57,0
2026-09-22 15:29:08.099,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8300,57,0
2026-09-22 15:30:12.256,v2.2.0,27,2280,0,27,1,0,False,1380175,38,8327,57,0
2026-09-22 15:31:14.083,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8327,57,0
2026-09-22 15:32:14.660,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8327,57,0
2026-09-22 15:33:21.474,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8327,57,0
2026-09-22 15:34:27.057,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8327,57,0
2026-09-22 15:35:29.198,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8327,57,0
2026-09-22 15:36:30.391,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8327,57,0
2026-09-22 15:37:31.062,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8327,57,0
2026-09-22 15:38:31.816,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8327,57,0
2026-09-22 15:39:32.428,v2.2.0,27,2280,0,0,0,0,False,1380175,38,8327,57,0
2026-09-22 15:40:41.368,v2.2.0,27,2280,0,0,0,0,False,1380442,65,8327,57,0
2026-09-22 15:41:54.465,v2.2.0,27,2280,0,0,0,0,False,1380971,65,8354,84,0
2026-09-22 15:43:03.161,v2.2.0,27,2280,0,0,0,0,False,1381384,65,8390,84,0
2026-09-22 15:44:15.656,v2.2.0,27,2280,0,0,0,0,False,1381804,65,8426,85,0
2026-09-22 15:45:26.645,v2.2.0,27,2280,0,0,0,0,False,1382235,65,8451,85,0
2026-09-22 15:46:37.296,v2.2.0,27,2280,0,0,0,0,False,1382720,65,8480,88,0
2026-09-22 15:47:51.889,v2.2.0,27,2280,0,0,0,0,False,1383175,65,8509,90,0
2026-09-22 15:49:05.019,v2.2.0,27,2280,0,0,0,0,False,1383729,65,8544,90,0
2026-09-22 15:50:20.852,v2.2.0,27,2280,0,0,0,0,False,1384062,65,8577,91,0
2026-09-22 15:51:34.119,v2.2.0,27,2280,0,0,0,0,False,1384394,65,8606,93,0
2026-09-22 15:52:48.823,v2.2.0,27,2280,0,0,0,0,False,1384730,65,8633,95,0
2026-09-22 15:53:56.670,v2.2.0,27,2280,7,0,0,0,False,1385069,65,8657,97,0
2026-09-22 15:55:15.738,v2.2.0,27,2449,0,0,0,0,False,1385426,65,8701,97,0
2026-09-22 15:56:26.088,v2.2.0,27,2449,6,0,0,0,False,1385774,65,8729,101,0
2026-09-22 15:57:38.798,v2.2.0,27,2449,0,0,0,0,False,1386102,65,8756,101,0
2026-09-22 15:58:47.090,v2.2.0,27,2449,12,0,0,0,False,1386433,65,8781,102,0
2026-09-22 16:00:00.171,v2.2.0,27,2449,0,0,0,0,False,1386853,65,8806,104,0
2026-09-22 16:01:03.584,v2.2.0,27,2314,0,0,0,0,False,1387907,65,8849,106,0
2026-09-22 16:02:09.644,v2.2.0,27,2314,0,0,0,0,False,1389161,65,8884,106,0
2026-09-22 16:03:14.961,v2.2.0,27,2289,0,0,0,0,False,1390712,65,8912,107,0
2026-09-22 16:04:22.787,v2.2.0,27,2289,0,0,0,0,False,1391978,65,8939,107,0
2026-09-22 16:05:31.547,v2.2.0,27,2265,0,0,0,0,False,1393088,65,8965,107,0
2026-09-22 16:06:35.581,v2.2.0,27,2252,0,0,0,0,False,1394026,65,8993,108,0
2026-09-22 16:07:41.758,v2.2.0,27,2252,0,0,0,0,False,1395003,65,9019,108,0
2026-09-22 16:08:46.248,v2.2.0,27,2252,0,0,0,0,False,1395817,65,9045,108,0
2026-09-22 16:09:50.856,v2.2.0,27,2202,0,0,0,0,False,1396866,65,9073,109,0
2026-09-22 16:10:56.670,v2.2.0,27,2202,0,0,0,0,False,1398208,65,9099,109,0
2026-09-22 16:12:12.614,v2.2.0,27,2202,0,0,0,0,False,1399649,65,9148,109,0
2026-09-22 16:13:24.831,v2.2.0,27,2202,0,0,0,0,False,1401012,65,9179,110,0
