datetime,version,session,market,stock_code,stock_name,current_price,change_rate,volume,actual_trading_value,estimated_trading_value,trading_value_used,trading_value_source,trading_value_rank,day_high,high_gap,value_growth,volume_growth,score,score_trading_value,score_high_position,score_value_growth,score_volume_growth
2026-08-13 09:14:00,v1.5,MAIN,KOSPI,073240,금호타이어,8070.0,9.16,3626108,60773000000.0,63551360700.0,60773000000.0,ACTUAL,27,8120.0,0.6157635467980296,1.1612083460715377,1.167700047208971,83,33,22,16,12
2026-08-13 09:14:00,v1.5,MAIN,KOSPI,001820,삼화콘덴서,98500.0,11.59,465334,44058000000.0,44521621400.0,44058000000.0,ACTUAL,40,98600.0,0.10141987829614604,1.2052523594583504,1.213143645213347,82,29,25,16,12
2026-08-13 09:14:04,v1.5,MAIN,KOSPI,161890,한국콜마,143000.0,7.4,329031,117415000000.0,122796788900.0,117415000000.0,ACTUAL,14,144000.0,0.6944444444444444,1.06228116998851,1.0923931447998354,82,40,22,11,9
2026-08-13 09:14:04,v1.5,MAIN,KOSPI,000660,SK하이닉스,1619000.0,7.71,659798,2486798000000.0,2533234500000.0,2486798000000.0,ACTUAL,1,1622000.0,0.18495684340320592,1.0491043498547292,1.072066553469441,79,40,25,5,9
2026-08-13 09:14:04,v1.5,MAIN,KOSPI,005930,삼성전자,269500.0,5.48,2500658,2122383000000.0,2144252225500.0,2122383000000.0,ACTUAL,2,270000.0,0.1851851851851852,1.0279212857061906,1.053903516498522,79,40,25,5,9
2026-08-13 09:14:04,v1.5,MAIN,KOSPI,475150,SK이터닉스,56600.0,7.4,1149467,63933000000.0,64778869800.0,63933000000.0,ACTUAL,25,57000.0,0.7017543859649122,1.0566739389131297,1.0553479075600702,75,33,22,11,9
2026-08-13 09:15:18,v1.5,MAIN,KOSPI,009150,삼성전기,1510000.0,13.03,180442,805667000000.0,837765111000.0,805667000000.0,ACTUAL,3,1516000.0,0.395778364116095,1.1026112304807785,1.116030232184164,85,40,25,11,9
2026-08-13 09:15:18,v1.5,MAIN,KOSPI,475150,SK이터닉스,57100.0,8.35,1267982,70549000000.0,71942117200.0,70549000000.0,ACTUAL,23,57300.0,0.34904013961605584,1.103483334115402,1.1031043083446501,82,37,25,11,9
2026-08-13 09:15:18,v1.5,MAIN,KOSPI,000660,SK하이닉스,1620000.0,7.71,696323,2573250000000.0,2619625860000.0,2573250000000.0,ACTUAL,1,1624000.0,0.24630541871921183,1.0347643837577478,1.0553578519486266,79,40,25,5,9
2026-08-13 09:15:18,v1.5,MAIN,KOSPI,073240,금호타이어,8090.0,8.89,3852219,64779000000.0,67260554080.0,64779000000.0,ACTUAL,27,8120.0,0.3694581280788177,1.065917430437859,1.0623563887231158,78,33,25,11,9
2026-08-13 09:15:18,v1.5,MAIN,KOSPI,005930,삼성전자,268500.0,5.19,2648167,2190888000000.0,2206947856250.0,2190888000000.0,ACTUAL,2,270000.0,0.5555555555555556,1.032277397623332,1.058988074338834,76,40,22,5,9
2026-08-13 09:15:18,v1.5,MAIN,KOSPI,001820,삼화콘덴서,99000.0,12.61,529174,50649000000.0,52293088000.0,50649000000.0,ACTUAL,36,99500.0,0.5025125628140703,1.1495982568432521,1.1371917805275351,75,33,22,11,9
2026-08-13 09:16:35,v1.5,MAIN,KOSPI,001820,삼화콘덴서,100000.0,13.75,581253,55842000000.0,57917059200.0,55842000000.0,ACTUAL,34,100300.0,0.29910269192422734,1.1025291713558016,1.0984156440036736,78,33,25,11,9
2026-08-13 09:16:35,v1.5,MAIN,KOSDAQ,100790,미래에셋벤처투자,18940.0,16.84,1420880,25875000000.0,26911467200.0,25875000000.0,ACTUAL,19,18940.0,0.0,1.2095077829196466,1.1941853976023507,77,24,25,16,12
2026-08-13 09:16:38,v1.5,MAIN,KOSPI,009150,삼성전기,1507000.0,12.73,194241,840452000000.0,871003700000.0,840452000000.0,ACTUAL,3,1516000.0,0.5936675461741424,1.043175406216216,1.0764733266091042,76,40,22,5,9
2026-08-13 09:17:55,v1.5,MAIN,KOSPI,009150,삼성전기,1512000.0,13.41,207792,873059000000.0,909181224000.0,873059000000.0,ACTUAL,3,1518000.0,0.3952569169960474,1.038796980672305,1.0697638500625513,79,40,25,5,9
2026-08-13 09:17:55,v1.5,MAIN,KOSPI,000660,SK하이닉스,1625000.0,8.11,769095,2726059000000.0,2782285998000.0,2726059000000.0,ACTUAL,1,1627000.0,0.1229256299938537,1.0301378714849574,1.0541901968309666,79,40,25,5,9
2026-08-13 09:17:55,v1.5,MAIN,KOSPI,001820,삼화콘덴서,102100.0,16.02,620029,59857000000.0,63304960900.0,59857000000.0,ACTUAL,34,102100.0,0.0,1.071899287274811,1.0667110535343474,78,33,25,11,9
2026-08-13 09:19:09,v1.5,MAIN,KOSPI,073240,금호타이어,8370.0,12.26,4566654,80383000000.0,85344706790.0,80383000000.0,ACTUAL,24,8390.0,0.23837902264600713,1.1306420986004642,1.1433141598182375,82,37,25,11,9
2026-08-13 09:19:09,v1.5,MAIN,KOSPI,475150,SK이터닉스,57200.0,8.73,1500100,83972000000.0,85724696400.0,83972000000.0,ACTUAL,21,57800.0,1.0380622837370241,1.1138495005902718,1.1085427477317031,76,37,19,11,9
2026-08-13 09:20:25,v1.5,MAIN,KOSPI,073240,금호타이어,8320.0,12.26,4882265,85864000000.0,90826213310.0,85864000000.0,ACTUAL,24,8390.0,0.834326579261025,1.0681860592413819,1.0691120895079855,79,37,22,11,9
2026-08-13 09:20:25,v1.5,MAIN,KOSPI,001820,삼화콘덴서,101300.0,15.0,705328,68463000000.0,71261801600.0,68463000000.0,ACTUAL,33,102100.0,0.7835455435847208,1.1437759994653924,1.1375725974107662,75,33,22,11,9
2026-08-13 09:21:41,v1.5,MAIN,KOSPI,001820,삼화콘덴서,103200.0,16.93,787452,76820000000.0,80618548500.0,76820000000.0,ACTUAL,28,103200.0,0.0,1.1220659334238932,1.116433772656126,82,37,25,11,9
2026-08-13 09:21:41,v1.5,MAIN,KOSPI,009150,삼성전기,1515000.0,13.41,234256,954059000000.0,990181738000.0,954059000000.0,ACTUAL,3,1519000.0,0.26333113890717574,1.0380632287210199,1.0505224449526884,79,40,25,5,9
2026-08-13 09:21:41,v1.5,MAIN,KOSPI,005930,삼성전자,269500.0,5.48,3248472,2418884000000.0,2442167227500.0,2418884000000.0,ACTUAL,2,270000.0,0.1851851851851852,1.0302277087045852,1.0663478592270823,79,40,25,5,9
2026-08-13 09:21:41,v1.5,MAIN,KOSPI,000990,DB하이텍,101900.0,7.15,95575,33662000000.0,33989967800.0,33662000000.0,ACTUAL,60,102300.0,0.39100684261974583,1.058420324487486,1.2075326283339018,77,29,25,11,12
2026-08-13 09:24:14,v1.5,MAIN,KOSPI,001820,삼화콘덴서,102300.0,16.02,889008,87158000000.0,90543096800.0,87158000000.0,ACTUAL,26,103300.0,0.9680542110358179,1.1345743296016662,1.1289678608981881,79,37,22,11,9
2026-08-13 09:25:28,v1.5,MAIN,KOSPI,001820,삼화콘덴서,104200.0,18.18,951935,93505000000.0,98172464000.0,93505000000.0,ACTUAL,25,104500.0,0.28708133971291866,1.0728217719543818,1.0707833900257366,82,37,25,11,9
2026-08-13 09:25:28,v1.5,MAIN,KOSPI,000990,DB하이텍,103800.0,8.62,115887,37894000000.0,38679755300.0,37894000000.0,ACTUAL,59,104000.0,0.19230769230769232,1.096850758365173,1.1573307501023637,77,29,25,11,12
2026-08-13 09:26:44,v1.5,MAIN,KOSPI,001820,삼화콘덴서,102800.0,17.05,1013173,99998000000.0,104317576000.0,99998000000.0,ACTUAL,22,104500.0,1.6267942583732056,1.0694401368910753,1.0643300225330512,76,37,19,11,9
2026-08-13 09:30:34,v1.5,MAIN,KOSPI,001820,삼화콘덴서,104900.0,19.2,1167924,116003000000.0,122404138500.0,116003000000.0,ACTUAL,19,105300.0,0.3798670465337132,1.0956289314116248,1.0900436512491984,85,40,25,11,9
2026-08-13 09:33:08,v1.5,MAIN,KOSPI,001820,삼화콘덴서,104200.0,18.3,1372057,137588000000.0,142757847300.0,137588000000.0,ACTUAL,17,107400.0,2.97951582867784,1.1860727739799832,1.1747827769615147,82,40,14,16,12
2026-08-13 09:48:49,v1.5,MAIN,KOSDAQ,126340,비나텍,80200.0,12.8,101228,33089000000.0,32731868000.0,33089000000.0,ACTUAL,22,81900.0,2.0757020757020754,1.3670880846141134,3.1951265702922793,78,29,14,20,15
2026-08-13 09:50:12,v1.5,MAIN,KOSDAQ,332570,PS일렉트로닉스,10290.0,19.79,5322386,52181000000.0,54643450050.0,52181000000.0,ACTUAL,16,10390.0,0.9624639076034648,1.1253666321601103,1.1069044030054371,75,33,22,11,9
2026-08-13 09:56:54,v1.5,MAIN,KOSDAQ,950160,코오롱티슈진,25550.0,19.44,2448732,56546000000.0,61713340500.0,56546000000.0,ACTUAL,15,25800.0,0.9689922480620154,1.0829040350843595,1.075536959872239,75,33,22,11,9
2026-08-13 09:58:21,v1.5,MAIN,KOSPI,001820,삼화콘덴서,104400.0,18.64,1895216,191186000000.0,197739759600.0,191186000000.0,ACTUAL,14,107400.0,2.793296089385475,1.3568914123491838,1.3502257362878651,89,40,14,20,15
2026-08-13 10:02:29,v1.5,MAIN,KOSPI,336260,두산퓨얼셀,40100.0,12.15,465916,90106000000.0,90126431450.0,90106000000.0,ACTUAL,40,41200.0,2.669902912621359,1.2471936550998657,2.106082522691932,82,37,14,16,15
2026-08-13 10:02:33,v1.5,MAIN,KOSDAQ,240810,원익IPS,117400.0,5.29,542413,63524000000.0,63650640600.0,63524000000.0,ACTUAL,12,120000.0,2.166666666666667,1.2796422384271382,1.2833681929170373,75,33,14,16,12
2026-08-13 10:09:45,v1.5,MAIN,KOSPI,402340,SK스퀘어,1117000.0,8.98,231138,482978000000.0,485501292000.0,482978000000.0,ACTUAL,6,1150000.0,2.869565217391304,1.339024214431069,1.490145766580062,89,40,14,20,15
2026-08-13 10:33:20,v1.5,MAIN,KOSPI,181710,NHN,64400.0,5.06,263874,49099000000.0,50459525200.0,49099000000.0,ACTUAL,74,64800.0,0.6172839506172839,1.2824939922683105,1.7976047741021308,82,29,22,16,15
2026-08-13 10:40:24,v1.5,MAIN,KOSPI,017670,SK텔레콤,92400.0,5.13,527404,98457000000.0,99746948600.0,98457000000.0,ACTUAL,46,92700.0,0.3236245954692557,2.1562602658724077,3.89650765036608,97,37,25,20,15
2026-08-13 10:44:49,v1.5,MAIN,KOSPI,005930,삼성전자,268250.0,5.09,8842450,4742652000000.0,4777285444500.0,4742652000000.0,ACTUAL,2,270000.0,0.6481481481481481,1.960677734029412,2.7220336207299924,97,40,22,20,15
2026-08-13 10:52:09,v1.5,MAIN,KOSDAQ,347850,디앤디파마텍,63600.0,5.12,670217,41823000000.0,42607738800.0,41823000000.0,ACTUAL,26,64800.0,1.8518518518518516,1.3068870695581527,1.2995073165718851,80,29,19,20,12
2026-08-13 10:54:21,v1.5,MAIN,KOSPI,017670,SK텔레콤,96500.0,9.79,805531,140095000000.0,146591816800.0,140095000000.0,ACTUAL,33,96500.0,0.0,1.0929381660451545,1.130258904217226,85,40,25,11,9
2026-08-13 10:55:48,v1.5,MAIN,KOSPI,017670,SK텔레콤,94800.0,7.97,853643,147192000000.0,151249987200.0,147192000000.0,ACTUAL,32,96500.0,1.7616580310880827,1.0506584817445306,1.0597270620249253,79,40,19,11,9
2026-08-13 10:55:48,v1.5,MAIN,KOSPI,035420,NAVER,227000.0,5.57,723250,376686000000.0,387777845000.0,376686000000.0,ACTUAL,10,228000.0,0.43859649122807015,1.0434139490821661,1.0518546528116115,79,40,25,5,9
2026-08-13 10:55:52,v1.5,MAIN,KOSDAQ,153890,져스텍,14170.0,11.04,2610783,35003000000.0,36382579200.0,35003000000.0,ACTUAL,34,14600.0,2.945205479452055,1.3794285714285714,1.3636350816055356,78,29,14,20,15
2026-08-13 10:58:57,v1.5,MAIN,KOSPI,475150,SK이터닉스,57900.0,9.87,3223394,181356000000.0,186472045200.0,181356000000.0,ACTUAL,25,58200.0,0.5154639175257731,1.06190275435638,1.059888026636337,82,40,22,11,9
2026-08-13 11:12:20,v1.5,MAIN,KOSDAQ,108490,로보티즈,265750.0,7.47,149846,84177000000.0,86560124000.0,84177000000.0,ACTUAL,12,266000.0,0.09398496240601503,1.0487646860944644,1.0512852893304148,76,37,25,5,9
2026-08-13 11:18:33,v1.5,MAIN,KOSDAQ,036930,주성엔지니어링,183900.0,5.63,1097274,194563000000.0,200307078000.0,194563000000.0,ACTUAL,2,184000.0,0.05434782608695652,1.1734588638323793,1.1699675966848178,93,40,25,16,12
