datetime,version,session,market,stock_code,stock_name,current_price,change_rate,volume,actual_trading_value,estimated_trading_value,trading_value_used,trading_value_source,trading_value_rank,day_high,high_gap,value_growth,volume_growth,score,score_trading_value,score_high_position,score_value_growth,score_volume_growth,focus_signal,watch_score,watch_start_time,watch_start_price,watch_start_score,watch_to_signal_sec,history_available_sec,history_sample_count,price_change_15s,price_change_30s,price_change_60s,price_change_120s,price_change_180s,price_change_300s,high_gap_change_30s,high_gap_change_60s,high_gap_change_120s,high_gap_change_180s,high_gap_change_300s
2026-08-24 09:27:27,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,38550.0,18.59,1000747,122191000000.0,38578796850.0,122191000000.0,ACTUAL,1,38700.0,0.3875968992248062,1.0388447739368485,1.0596374086215514,79,40,25,5,9,True,60,2026-08-24 09:00:20,36500.0,67.0,1626.891513,592.0003054141998,39,-0.258732212160414,0.9162303664921465,0.390625,1.8494055482166447,1.4473684210526316,1.0484927916120577,-0.39162387999597303,0.1278566394845465,-1.300714789086882,-0.9111043994764925,-0.5214940098661028
2026-08-24 09:29:02,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,38900.0,19.05,1079710,127072000000.0,42000719000.0,127072000000.0,ACTUAL,1,38900.0,0.0,1.0307258038350475,1.0595645001584868,79,40,25,5,9,True,60,2026-08-24 09:00:20,36500.0,67.0,1721.346813,592.872298002243,39,0.646830530401035,0.7772020725388601,1.9659239842726082,1.832460732984293,1.5665796344647518,2.91005291005291,-0.2583979328165375,-1.421188630490956,-0.7792207792207793,-0.5194805194805194,-1.8181818181818181
2026-08-24 09:29:19,v1.6.2,MAIN,KOSDAQ,124500,아이티센글로벌,38900.0,19.82,1079710,129026000000.0,42000719000.0,129026000000.0,ACTUAL,1,38900.0,0.0,1.0415570157735836,1.054248836353233,79,40,25,5,9,True,60,2026-08-24 09:00:20,36500.0,67.0,1739.077977,592.6219637393951,39,0.0,0.646830530401035,1.0389610389610389,0.646830530401035,1.5665796344647518,3.183023872679045,-0.25806451612903225,-0.516795865633075,-0.12919896640826875,-0.5194805194805194,-2.0779220779220777
2026-08-24 09:32:40,v1.6.2,MAIN,KOSPI,035420,NAVER,233000.0,5.18,462037,274608000000.0,107654621000.0,274608000000.0,ACTUAL,5,234000.0,0.4273504273504274,2.269037546271814,5.9667721314651,100,40,25,20,15,False,60,2026-08-24 09:00:37,233000.0,74.0,1923.280401,593.4228374958038,39,0.0,0.0,0.43103448275862066,0.6479481641468683,0.8658008658008658,1.5250544662309369,,,,,
2026-08-24 09:34:03,v1.6.2,MAIN,KOSPI,035420,NAVER,233500.0,5.07,488731,291112000000.0,114118688500.0,291112000000.0,ACTUAL,5,234000.0,0.2136752136752137,1.0569018911628345,1.055109627723422,85,40,25,11,9,False,60,2026-08-24 09:00:37,233000.0,74.0,2006.836004,595.1843209266663,39,0.322234156820623,0.0,0.0,0.43010752688172044,0.8639308855291578,1.7429193899782136,0.0,0.0,,,
2026-08-24 09:35:50,v1.6.2,MAIN,KOSPI,035420,NAVER,234500.0,5.41,539450,310119000000.0,126501025000.0,310119000000.0,ACTUAL,5,234500.0,0.0,1.048602681364013,1.0756837057198976,79,40,25,5,9,False,60,2026-08-24 09:00:37,233000.0,74.0,2113.244938,594.2725620269775,39,0.2136752136752137,0.6437768240343348,0.4282655246252677,0.7518796992481203,0.6437768240343348,1.5151515151515151,,-0.2136752136752137,,-0.4273504273504274,
2026-08-24 09:36:06,v1.6.2,MAIN,KOSPI,035420,NAVER,235000.0,5.86,544557,314543000000.0,127970895000.0,314543000000.0,ACTUAL,5,235000.0,0.0,1.0605492523222686,1.0815131257522135,85,40,25,11,9,False,60,2026-08-24 09:00:37,233000.0,74.0,2129.214069,593.947500705719,39,0.21321961620469082,0.4273504273504274,0.7502679528403001,0.6423982869379015,0.6423982869379015,1.511879049676026,0.0,-0.3205128205128205,-0.2136752136752137,-0.2136752136752137,
2026-08-24 09:36:22,v1.6.2,MAIN,KOSPI,035420,NAVER,234000.0,5.63,559830,319825000000.0,131000220000.0,319825000000.0,ACTUAL,5,235000.0,0.425531914893617,1.078358649291097,1.111845946686686,85,40,25,11,9,False,60,2026-08-24 09:00:37,233000.0,74.0,2144.941351,593.9477481842041,39,-0.425531914893617,-0.21321961620469082,0.4291845493562232,0.4291845493562232,0.0,0.8620689655172413,0.425531914893617,,,0.425531914893617,
2026-08-24 09:36:37,v1.6.2,MAIN,KOSPI,035420,NAVER,234000.0,5.41,560632,320602000000.0,131187888000.0,320602000000.0,ACTUAL,5,235000.0,0.425531914893617,1.0649566346783061,1.0845099575390031,85,40,25,11,9,False,60,2026-08-24 09:00:37,233000.0,74.0,2160.038467,594.024759054184,39,0.0,-0.425531914893617,0.0,0.21413276231263384,0.21413276231263384,0.8620689655172413,0.425531914893617,0.425531914893617,0.21185670121840333,0.21185670121840333,
2026-08-24 09:36:52,v1.6.2,MAIN,KOSPI,035420,NAVER,234500.0,5.18,568028,323026000000.0,133202566000.0,323026000000.0,ACTUAL,5,235000.0,0.2127659574468085,1.0416195073504042,1.0529761794420243,79,40,25,5,9,False,60,2026-08-24 09:00:37,233000.0,74.0,2175.770045,593.4175131320953,39,0.2136752136752137,0.2136752136752137,0.0,0.4282655246252677,0.7518796992481203,0.8602150537634409,-0.2127659574468085,0.2127659574468085,-0.0009092562284051808,,
