collected_at_kst,api_id,instrument_type,code,base_date,page,row_count,cont_yn,next_key_present,status,message,first_raw_time,last_raw_time
2026-09-13T21:11:23.018653+09:00,ka20005,INDEX,101,2026-09-13,3,900,Y,True,COMPLETE,,20260907105100.0,20260902145800.0
2026-09-13T21:11:23.368158+09:00,ka20005,INDEX,101,2026-09-13,4,900,Y,True,COMPLETE,,20260902145700.0,20260831124200.0
2026-09-13T21:11:23.727531+09:00,ka20005,INDEX,101,2026-09-13,5,900,Y,True,COMPLETE,,20260831124100.0,20260827102600.0
2026-09-13T21:11:24.118449+09:00,ka20005,INDEX,101,2026-09-13,6,900,Y,True,COMPLETE,,20260827102500.0,20260824143200.0
2026-09-13T21:11:24.425404+09:00,ka20005,INDEX,101,2026-09-13,7,900,Y,True,COMPLETE,,20260824143100.0,20260820121600.0
2026-09-13T21:11:24.781982+09:00,ka20005,INDEX,101,2026-09-13,8,900,Y,True,COMPLETE,,20260820121500.0,20260818100000.0
2026-09-13T21:11:25.153189+09:00,ka20005,INDEX,101,2026-09-13,9,900,Y,True,COMPLETE,,20260818095900.0,20260812140600.0
2026-09-13T21:11:25.511105+09:00,ka20005,INDEX,101,2026-09-13,10,900,Y,True,COMPLETE,,20260812140500.0,20260810115000.0
2026-09-13T21:11:25.862192+09:00,ka20005,INDEX,101,2026-09-13,11,900,Y,True,COMPLETE,,20260810114900.0,20260806093400.0
2026-09-13T21:11:26.307730+09:00,ka20005,INDEX,101,2026-09-13,12,900,Y,True,COMPLETE,,20260806093300.0,20260803134000.0
2026-09-13T21:11:26.568635+09:00,ka20005,INDEX,101,2026-09-13,13,900,Y,True,COMPLETE,,20260803133900.0,20260730112400.0
2026-09-13T21:11:26.921791+09:00,ka20005,INDEX,101,2026-09-13,14,900,Y,True,COMPLETE,,20260730112300.0,20260727143200.0
2026-09-13T21:11:27.268395+09:00,ka20005,INDEX,101,2026-09-13,15,900,Y,True,COMPLETE,,20260727143100.0,20260723121600.0
2026-09-13T21:11:27.660635+09:00,ka20005,INDEX,101,2026-09-13,16,900,Y,True,COMPLETE,,20260723121500.0,20260721100000.0
2026-09-13T21:11:28.005750+09:00,ka20005,INDEX,101,2026-09-13,17,900,Y,True,COMPLETE,,20260721095900.0,20260715140600.0
2026-09-13T21:11:28.359077+09:00,ka20005,INDEX,101,2026-09-13,18,900,Y,True,COMPLETE,,20260715140500.0,20260713115000.0
2026-09-13T21:11:28.719338+09:00,ka20005,INDEX,101,2026-09-13,19,900,Y,True,COMPLETE,,20260713114900.0,20260709093400.0
