market,instrument_type,code,name,datetime_kst,trade_date,open,high,low,close,volume,cumulative_volume,source_api,adjusted_flag,collection_status
KOSPI,INDEX,001,KOSPI,2025-09-09T14:17:00+09:00,2025-09-09,324846.0,324991.0,324834.0,324866.0,553,348325,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:18:00+09:00,2025-09-09,324855.0,324933.0,324855.0,324911.0,833,349158,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:19:00+09:00,2025-09-09,324846.0,324895.0,324782.0,324782.0,673,349831,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:20:00+09:00,2025-09-09,324880.0,324880.0,324742.0,324825.0,709,350540,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:21:00+09:00,2025-09-09,324740.0,324855.0,324740.0,324750.0,495,351035,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:22:00+09:00,2025-09-09,324814.0,324873.0,324781.0,324794.0,574,351609,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:23:00+09:00,2025-09-09,324851.0,324914.0,324851.0,324900.0,731,352340,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:24:00+09:00,2025-09-09,324867.0,324880.0,324783.0,324854.0,725,353065,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:25:00+09:00,2025-09-09,324774.0,324843.0,324738.0,324755.0,758,353823,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:26:00+09:00,2025-09-09,324724.0,324844.0,324720.0,324735.0,602,354425,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:27:00+09:00,2025-09-09,324818.0,324840.0,324744.0,324840.0,588,355013,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:28:00+09:00,2025-09-09,324715.0,324805.0,324715.0,324743.0,745,355758,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:29:00+09:00,2025-09-09,324727.0,324852.0,324701.0,324742.0,601,356359,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:30:00+09:00,2025-09-09,324769.0,324909.0,324769.0,324909.0,3042,359401,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:31:00+09:00,2025-09-09,324827.0,324934.0,324827.0,324927.0,592,359993,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:32:00+09:00,2025-09-09,325001.0,325121.0,324911.0,325121.0,784,360777,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:33:00+09:00,2025-09-09,325030.0,325118.0,325029.0,325029.0,727,361504,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:34:00+09:00,2025-09-09,325085.0,325125.0,325000.0,325125.0,706,362210,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:35:00+09:00,2025-09-09,325150.0,325150.0,325044.0,325126.0,828,363038,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:36:00+09:00,2025-09-09,325024.0,325126.0,325024.0,325123.0,584,363622,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:37:00+09:00,2025-09-09,325154.0,325174.0,325154.0,325156.0,674,364296,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:38:00+09:00,2025-09-09,325121.0,325125.0,325074.0,325125.0,602,364898,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:39:00+09:00,2025-09-09,325192.0,325204.0,325114.0,325161.0,782,365680,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:40:00+09:00,2025-09-09,325093.0,325123.0,325014.0,325014.0,520,366200,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:41:00+09:00,2025-09-09,325049.0,325078.0,325027.0,325078.0,796,366996,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:42:00+09:00,2025-09-09,325041.0,325190.0,325041.0,325190.0,1197,368193,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:43:00+09:00,2025-09-09,325134.0,325184.0,325109.0,325184.0,1297,369490,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:44:00+09:00,2025-09-09,325177.0,325245.0,325177.0,325204.0,1029,370519,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:45:00+09:00,2025-09-09,325337.0,325353.0,325167.0,325271.0,1010,371529,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:46:00+09:00,2025-09-09,325307.0,325307.0,325209.0,325226.0,1422,372951,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:47:00+09:00,2025-09-09,325283.0,325419.0,325266.0,325376.0,1129,374080,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:48:00+09:00,2025-09-09,325416.0,325457.0,325318.0,325318.0,1151,375231,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:49:00+09:00,2025-09-09,325405.0,325405.0,325292.0,325357.0,1138,376369,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:50:00+09:00,2025-09-09,325393.0,325469.0,325338.0,325338.0,832,377201,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:51:00+09:00,2025-09-09,325366.0,325399.0,325292.0,325328.0,731,377932,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:52:00+09:00,2025-09-09,325386.0,325386.0,325290.0,325328.0,975,378907,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:53:00+09:00,2025-09-09,325344.0,325459.0,325344.0,325425.0,727,379634,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:54:00+09:00,2025-09-09,325465.0,325481.0,325380.0,325419.0,758,380392,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:55:00+09:00,2025-09-09,325423.0,325631.0,325423.0,325631.0,1098,381490,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:56:00+09:00,2025-09-09,325556.0,325689.0,325542.0,325666.0,787,382277,ka20005,N/A,PARTIAL
KOSPI,INDEX,001,KOSPI,2025-09-09T14:57:00+09:00,2025-09-09,325723.0,325751.0,325612.0,325653.0,868,383145,ka20005,N/A,PARTIAL
