rule_family,index_family,entry_time_variant,direction,tp_pct,sl_pct,cost_status,samples,grid_rows,win_rate_pct,avg_gross_return_pct,avg_net_return_pct,gross_profit_factor
KOREAN_V20,KOSDAQ150,15:00,LONG,0.5,-0.3,UNCONFIRMED,80,80,51.24999999999999,0.013553804052628127,-0.048138710033329715,1.1300855806432282
KOREAN_V20,KOSDAQ150,15:00,LONG,0.5,-0.2,UNCONFIRMED,80,80,48.75,0.02546115993859857,-0.0362281920861703,1.3080942933505202
KOREAN_V20,KOSDAQ150,15:00,LONG,0.75,-0.75,UNCONFIRMED,80,80,58.75,0.04569952660505055,-0.01598159109445558,1.413520552257771
KOREAN_V20,KOSDAQ150,15:00,LONG,0.75,-0.5,UNCONFIRMED,80,80,56.25,0.03870469753504774,-0.022979060545964724,1.3394123442055401
KOREAN_V20,KOSDAQ150,15:00,LONG,0.75,-0.3,UNCONFIRMED,80,80,51.24999999999999,0.024043013652118583,-0.03764642419654503,1.2307580498585151
KOREAN_V20,KOSDAQ150,15:00,LONG,0.75,-0.2,UNCONFIRMED,80,80,48.75,0.03282536953808882,-0.028861986510304794,1.397205353416582
KOREAN_V20,KOSDAQ150,15:00,LONG,1.0,-0.75,UNCONFIRMED,80,80,58.75,0.04709828457276994,-0.014582829575161419,1.4261774703979764
KOREAN_V20,KOSDAQ150,15:00,LONG,1.0,-0.5,UNCONFIRMED,80,80,56.25,0.040103455502767116,-0.021580299026670562,1.3516784449900743
KOREAN_V20,KOSDAQ150,15:00,LONG,1.0,-0.3,UNCONFIRMED,80,80,51.24999999999999,0.022316771619838027,-0.03937354769935618,1.2141900667131176
KOREAN_V20,KOSDAQ150,15:00,LONG,1.0,-0.2,UNCONFIRMED,80,80,48.75,0.03609890874487029,-0.02558759784903686,1.4368170109805256
KOREAN_V20,KOSPI200,14:30,INVERSE,0.3,-0.75,UNCONFIRMED,69,69,65.21739130434783,0.04861611573136158,-0.6060713936449731,1.3520624469166447
KOREAN_V20,KOSPI200,14:30,INVERSE,0.3,-0.5,UNCONFIRMED,69,69,59.42028985507246,0.027566915270129697,-0.6271978300260371,1.1944792101748574
KOREAN_V20,KOSPI200,14:30,INVERSE,0.3,-0.3,UNCONFIRMED,69,69,49.275362318840585,0.0075518242690441675,-0.6472344084310047,1.0568613008572671
KOREAN_V20,KOSPI200,14:30,INVERSE,0.3,-0.2,UNCONFIRMED,69,69,36.231884057971016,-0.013606115035072112,-0.6685086603011116,0.8868137592060595
KOREAN_V20,KOSPI200,14:30,INVERSE,0.5,-0.75,UNCONFIRMED,69,69,57.971014492753625,0.08829924818988015,-0.566245782460059,1.5676882331972557
KOREAN_V20,KOSPI200,14:30,INVERSE,0.5,-0.5,UNCONFIRMED,69,69,53.62318840579711,0.0690241606721762,-0.5855861579448607,1.450909153175754
KOREAN_V20,KOSPI200,14:30,INVERSE,0.5,-0.3,UNCONFIRMED,69,69,43.47826086956522,0.037067416307707435,-0.6175995477307451,1.2624368988927237
KOREAN_V20,KOSPI200,14:30,INVERSE,0.5,-0.2,UNCONFIRMED,69,69,30.434782608695656,-0.00023928368293039335,-0.6550937135890516,0.9981635634381326
KOREAN_V20,KOSPI200,14:30,INVERSE,0.75,-0.75,UNCONFIRMED,69,69,49.275362318840585,0.06246220345463223,-0.5921590833656072,1.3360801274451746
KOREAN_V20,KOSPI200,14:30,INVERSE,0.75,-0.5,UNCONFIRMED,69,69,46.3768115942029,0.04656674602651679,-0.6081006676505566,1.2586877318193086
KOREAN_V20,KOSPI200,14:30,INVERSE,0.75,-0.3,UNCONFIRMED,69,69,39.130434782608695,0.04166845827918885,-0.6130030338075932,1.2779030879494842
KOREAN_V20,KOSPI200,14:30,INVERSE,0.75,-0.2,UNCONFIRMED,69,69,27.536231884057973,0.01885135062676619,-0.6359517057578684,1.1415305112522391
KOREAN_V20,KOSPI200,14:30,INVERSE,1.0,-0.75,UNCONFIRMED,69,69,47.82608695652174,0.07417124064357158,-0.580423794424856,1.3770307250197358
KOREAN_V20,KOSPI200,14:30,INVERSE,1.0,-0.5,UNCONFIRMED,69,69,44.927536231884055,0.0564114627672236,-0.5982379932635793,1.3012502743735046
KOREAN_V20,KOSPI200,14:30,INVERSE,1.0,-0.3,UNCONFIRMED,69,69,37.68115942028986,0.05260013154163481,-0.6020504768874912,1.3409247417939107
KOREAN_V20,KOSPI200,14:30,INVERSE,1.0,-0.2,UNCONFIRMED,69,69,26.08695652173913,0.023985922439936955,-0.6308271391486411,1.176244065237044
KOREAN_V20,KOSPI200,14:30,LONG,0.3,-0.75,UNCONFIRMED,97,97,54.63917525773196,-0.015557181101076924,-0.02930632595370397,0.8858153260061286
KOREAN_V20,KOSPI200,14:30,LONG,0.3,-0.5,UNCONFIRMED,97,97,52.57731958762887,-0.004060448173424492,-0.017809035764073184,0.96641691556231
KOREAN_V20,KOSPI200,14:30,LONG,0.3,-0.3,UNCONFIRMED,97,97,46.391752577319586,-0.011440479735766137,-0.025189791906165285,0.9035733540262435
KOREAN_V20,KOSPI200,14:30,LONG,0.3,-0.2,UNCONFIRMED,97,97,42.2680412371134,-0.0031596048590667287,-0.016908488704495208,0.9681542045418567
KOREAN_V20,KOSPI200,14:30,LONG,0.5,-0.75,UNCONFIRMED,97,97,50.51546391752577,-0.005971492740497578,-0.019719921461440547,0.960070252954316
KOREAN_V20,KOSPI200,14:30,LONG,0.5,-0.5,UNCONFIRMED,97,97,48.45360824742268,0.006040704104680685,-0.007707168772404789,1.045890008285167
KOREAN_V20,KOSPI200,14:30,LONG,0.5,-0.3,UNCONFIRMED,97,97,42.2680412371134,-0.0031526874193986893,-0.016901354719050226,0.9751875872568779
KOREAN_V20,KOSPI200,14:30,LONG,0.5,-0.2,UNCONFIRMED,97,97,37.11340206185567,-0.0016832504757116245,-0.01543181977912517,0.984411782882484
KOREAN_V20,KOSPI200,14:30,LONG,0.75,-0.75,UNCONFIRMED,97,97,49.48453608247423,0.0077767427340648615,-0.005970887676247446,1.0519511299361102
KOREAN_V20,KOSPI200,14:30,LONG,0.75,-0.5,UNCONFIRMED,97,97,48.45360824742268,0.02508703015503109,0.011340200139340593,1.1905810981161224
KOREAN_V20,KOSPI200,14:30,LONG,0.75,-0.3,UNCONFIRMED,97,97,42.2680412371134,0.010738999455693635,-0.003008818921931874,1.0845185238800656
KOREAN_V20,KOSPI200,14:30,LONG,0.75,-0.2,UNCONFIRMED,97,97,37.11340206185567,0.011994264648503164,-0.0017535304774396981,1.111076280211222
