decision_id,trade_date,index_family,rule_family,entry_time_variant,decision,reason,direction,morning_return_pct,cumulative_return_pct
2025-09-16|KOSDAQ150|ORIGINAL|15:00,2025-09-16,KOSDAQ150,ORIGINAL,15:00,ENTER,PASS,INVERSE,-0.07063144511936237,
2025-09-17|KOSPI200|KOREAN_V20|14:30,2025-09-17,KOSPI200,KOREAN_V20,14:30,ENTER,PASS,INVERSE,-0.20176436497886252,-0.44645731825109225
2025-09-17|KOSPI200|KOREAN_V20|14:50,2025-09-17,KOSPI200,KOREAN_V20,14:50,ENTER,PASS,INVERSE,-0.20176436497886252,-0.43572517117774767
2025-09-17|KOSPI200|KOREAN_V20|15:00,2025-09-17,KOSPI200,KOREAN_V20,15:00,ENTER,PASS,INVERSE,-0.20176436497886252,-0.4786537594711149
2025-09-17|KOSPI200|ORIGINAL|15:00,2025-09-17,KOSPI200,ORIGINAL,15:00,ENTER,PASS,INVERSE,-0.9712253200144794,
2025-09-17|KOSDAQ150|KOREAN_V20|14:30,2025-09-17,KOSDAQ150,KOREAN_V20,14:30,SKIP,NO_DIRECTION_CONSENSUS,,0.0,-0.6027086435510198
2025-09-17|KOSDAQ150|KOREAN_V20|14:50,2025-09-17,KOSDAQ150,KOREAN_V20,14:50,SKIP,NO_DIRECTION_CONSENSUS,,0.0,-0.5672551939303716
2025-09-17|KOSDAQ150|KOREAN_V20|15:00,2025-09-17,KOSDAQ150,KOREAN_V20,15:00,SKIP,NO_DIRECTION_CONSENSUS,,0.0,-0.5672551939303716
2025-09-17|KOSDAQ150|ORIGINAL|15:00,2025-09-17,KOSDAQ150,ORIGINAL,15:00,ENTER,PASS,INVERSE,-0.49389684611584883,
2025-09-18|KOSPI200|KOREAN_V20|14:30,2025-09-18,KOSPI200,KOREAN_V20,14:30,ENTER,PASS,LONG,0.1372242114968225,1.1342438731533733
2025-09-18|KOSPI200|KOREAN_V20|14:50,2025-09-18,KOSPI200,KOREAN_V20,14:50,ENTER,PASS,LONG,0.1372242114968225,1.1042260768884482
2025-09-18|KOSPI200|KOREAN_V20|15:00,2025-09-18,KOSPI200,KOREAN_V20,15:00,ENTER,PASS,LONG,0.1372242114968225,1.1235232316301857
2025-09-18|KOSPI200|ORIGINAL|15:00,2025-09-18,KOSPI200,ORIGINAL,15:00,ENTER,PASS,LONG,0.7051060893565664,
2025-09-18|KOSDAQ150|KOREAN_V20|14:30,2025-09-18,KOSDAQ150,KOREAN_V20,14:30,SKIP,NO_DIRECTION_CONSENSUS,,-0.1767658912536274,0.38888496075797363
2025-09-18|KOSDAQ150|KOREAN_V20|14:50,2025-09-18,KOSDAQ150,KOREAN_V20,14:50,SKIP,NO_DIRECTION_CONSENSUS,,-0.1767658912536274,0.28282542600579497
2025-09-18|KOSDAQ150|KOREAN_V20|15:00,2025-09-18,KOSDAQ150,KOREAN_V20,15:00,SKIP,NO_DIRECTION_CONSENSUS,,-0.1767658912536274,0.10605953475217866
2025-09-18|KOSDAQ150|ORIGINAL|15:00,2025-09-18,KOSDAQ150,ORIGINAL,15:00,ENTER,PASS,LONG,0.6774584610996115,
2025-09-19|KOSPI200|KOREAN_V20|14:30,2025-09-19,KOSPI200,KOREAN_V20,14:30,ENTER,PASS,INVERSE,-0.06352836541515527,-0.5759905130974352
2025-09-19|KOSPI200|KOREAN_V20|14:50,2025-09-19,KOSPI200,KOREAN_V20,14:50,ENTER,PASS,INVERSE,-0.06352836541515527,-0.6289308176100628
2025-09-19|KOSPI200|KOREAN_V20|15:00,2025-09-19,KOSPI200,KOREAN_V20,15:00,ENTER,PASS,INVERSE,-0.06352836541515527,-0.5865785739999629
2025-09-19|KOSPI200|ORIGINAL|15:00,2025-09-19,KOSPI200,ORIGINAL,15:00,ENTER,PASS,LONG,0.010595914215483226,
2025-09-19|KOSDAQ150|KOREAN_V20|14:30,2025-09-19,KOSDAQ150,KOREAN_V20,14:30,ENTER,PASS,LONG,0.14086491055078643,0.17608113818847748
2025-09-19|KOSDAQ150|KOREAN_V20|14:50,2025-09-19,KOSDAQ150,KOREAN_V20,14:50,ENTER,PASS,LONG,0.14086491055078643,0.35216227637695496
2025-09-19|KOSDAQ150|KOREAN_V20|15:00,2025-09-19,KOSDAQ150,KOREAN_V20,15:00,ENTER,PASS,LONG,0.14086491055078643,0.28172982110157285
2025-09-19|KOSDAQ150|ORIGINAL|15:00,2025-09-19,KOSDAQ150,ORIGINAL,15:00,ENTER,PASS,LONG,0.21144629264167047,
2025-09-22|KOSPI200|KOREAN_V20|14:30,2025-09-22,KOSPI200,KOREAN_V20,14:30,ENTER,PASS,LONG,0.3549770743972891,0.2620068882456028
2025-09-22|KOSPI200|KOREAN_V20|14:50,2025-09-22,KOSPI200,KOREAN_V20,14:50,ENTER,PASS,LONG,0.3549770743972891,0.3549770743972891
2025-09-22|KOSPI200|KOREAN_V20|15:00,2025-09-22,KOSPI200,KOREAN_V20,15:00,ENTER,PASS,LONG,0.3549770743972891,0.3761066621590148
2025-09-22|KOSPI200|ORIGINAL|15:00,2025-09-22,KOSPI200,ORIGINAL,15:00,ENTER,PASS,LONG,1.0209507603956114,
2025-09-22|KOSDAQ150|KOREAN_V20|14:30,2025-09-22,KOSDAQ150,KOREAN_V20,14:30,ENTER,PASS,LONG,0.4505128915996748,1.309952869420572
2025-09-22|KOSDAQ150|KOREAN_V20|14:50,2025-09-22,KOSDAQ150,KOREAN_V20,14:50,ENTER,PASS,LONG,0.4505128915996748,1.1713335181591455
2025-09-22|KOSDAQ150|KOREAN_V20|15:00,2025-09-22,KOSDAQ150,KOREAN_V20,15:00,ENTER,PASS,LONG,0.4505128915996748,1.1366786803437723
2025-09-22|KOSDAQ150|ORIGINAL|15:00,2025-09-22,KOSDAQ150,ORIGINAL,15:00,ENTER,PASS,LONG,1.4702793530770863,
2025-09-23|KOSPI200|KOREAN_V20|14:30,2025-09-23,KOSPI200,KOREAN_V20,14:30,ENTER,PASS,LONG,0.05232643322099495,0.24907382213199547
2025-09-23|KOSPI200|KOREAN_V20|14:50,2025-09-23,KOSPI200,KOREAN_V20,14:50,ENTER,PASS,LONG,0.05232643322099495,0.22814324884359305
